 Seconds	 Resist. (Ohm)
   2411 	10028.3399 
   2413 	10028.3322 
   2415 	10028.3251 
   2418 	10028.3066 
   2420 	10028.2934 
   2422 	10028.2955 
   2424 	10028.2878 
   2426 	10028.2809 
   2428 	10028.2685 
   2430 	10028.2639 
   2432 	10028.2493 
   2435 	10028.2375 
   2437 	10028.2278 
   2439 	10028.2307 
   2441 	10028.2162 
   2443 	10028.2035 
   2445 	10028.2038 
   2447 	10028.1895 
   2449 	10028.1828 
   2452 	10028.1694 
   2454 	10028.1693 
   2456 	10028.1574 
   2458 	10028.1506 
   2460 	10028.1402 
   2462 	10028.1359 
   2464 	10028.1249 
   2466 	10028.1233 
   2469 	10028.121 
   2471 	10028.0959 
   2473 	10028.0927 
   2475 	10028.0874 
   2477 	10028.0777 
   2479 	10028.0732 
   2481 	10028.0681 
   2484 	10028.063 
   2486 	10028.0477 
   2488 	10028.0334 
   2490 	10028.0343 
   2492 	10028.0251 
   2494 	10028.0104 
   2496 	10027.9975 
   2498 	10027.9935 
   2500 	10027.9912 
   2503 	10027.9795 
   2505 	10027.9573 
   2507 	10027.958 
   2509 	10027.9618 
   2511 	10027.9505 
   2513 	10027.9484 
   2515 	10027.937 
   2517 	10027.9218 
   2520 	10027.9113 
   2522 	10027.9081 
   2524 	10027.9028 
   2526 	10027.9044 
   2528 	10027.8968 
   2530 	10027.874 
   2532 	10027.8673 
   2534 	10027.8628 
   2537 	10027.8544 
   2539 	10027.8498 
   2541 	10027.8305 
   2543 	10027.8239 
   2545 	10027.8211 
   2547 	10027.814 
   2549 	10027.8026 
   2551 	10027.784 
   2554 	10027.7891 
   2556 	10027.7834 
